k,PSD
0.000000000000000000e+00,7.282422602214235569e-34
4.908738521234051744e-02,2.259106974695917688e-02
9.817477042468103487e-02,5.186960852916534803e-02
1.472621556370215523e-01,1.727651884717735023e-02
1.963495408493620697e-01,4.477959568498272175e-02
2.454369260617025872e-01,6.083127393695682414e-04
2.945243112740431046e-01,1.807256164478613161e-02
3.436116964863836221e-01,6.350387544742435927e-03
3.926990816987241395e-01,2.021176347439600576e-02
4.417864669110646569e-01,7.611169426413861780e-03
4.908738521234051744e-01,1.978605374690605399e-03
5.399612373357456363e-01,8.647988514212628756e-04
5.890486225480862092e-01,3.225556149911280521e-03
6.381360077604267822e-01,2.075201064709880508e-04
6.872233929727672441e-01,2.034410063126337984e-04
7.363107781851077061e-01,1.166585603003502314e-03
7.853981633974482790e-01,2.750971596602175707e-03
8.344855486097888519e-01,1.026589010224751878e-03
8.835729338221293139e-01,7.595184081421311366e-04
9.326603190344697758e-01,3.521260807293228809e-04
9.817477042468103487e-01,4.872119992629794609e-03
1.030835089459150922e+00,1.771537179471488997e-03
1.079922474671491273e+00,7.827622970463208067e-04
1.129009859883831846e+00,6.027397924125219150e-04
1.178097245096172418e+00,1.433224896928090696e-03
1.227184630308512991e+00,4.788839729815310537e-04
1.276272015520853564e+00,1.208299666302894206e-04
1.325359400733193915e+00,8.081854690412925422e-05
1.374446785945534488e+00,2.115730883663682340e-04
1.423534171157875061e+00,1.667621059035045939e-04
1.472621556370215412e+00,1.364047670013919193e-06
1.521708941582555985e+00,7.784977104330901339e-05
1.570796326794896558e+00,2.177409199027262252e-07
1.619883712007237131e+00,3.009265538105056555e-35
1.668971097219577704e+00,2.407412430484044816e-35
1.718058482431918055e+00,1.504632769052528010e-36
1.767145867644258628e+00,3.129636159629258689e-34
1.816233252856599201e+00,8.501175145146785396e-35
1.865320638068939552e+00,3.009265538105056555e-35
1.914408023281280125e+00,6.560198873069022980e-34
1.963495408493620697e+00,3.084497176557681566e-34
2.012582793705961048e+00,3.009265538105056555e-35
2.061670178918301843e+00,1.278937853694648809e-34
2.110757564130642194e+00,3.009265538105056448e-34
2.159844949342982545e+00,9.629649721936179265e-35
2.208932334555323340e+00,3.671303956488167917e-34
2.258019719767663691e+00,6.018531076210113110e-35
2.307107104980004486e+00,6.168994353115364842e-35
2.356194490192344837e+00,1.339123164456749715e-34
2.405281875404685188e+00,2.964126555033480608e-34
2.454369260617025983e+00,7.466740116423169395e-34
2.503456645829366334e+00,5.877471754111437540e-37
2.552544031041707129e+00,9.629649721936179265e-35
2.601631416254047480e+00,1.388023729450957089e-34
2.650718801466387831e+00,3.347807911141874288e-35
2.699806186678728626e+00,4.814824860968090702e-35
2.748893571891068976e+00,4.589129945610209576e-34
2.797980957103409327e+00,4.875010171730190753e-34
2.847068342315750122e+00,1.925929944387236281e-34
2.896155727528090473e+00,1.388023729450957089e-34
2.945243112740430824e+00,9.629649721936179265e-35
2.994330497952771619e+00,5.356492657826998861e-34
3.043417883165111970e+00,7.703719777548945123e-34
3.092505268377452765e+00,1.925929944387236281e-34
